start,end,Precision,Recall,F-Score
0,1,94.3,96.9,95.3
0,2,99.7,99.8,99.7
0,4,81.6,82.9,81.7
0,5,82.1,87.1,81.4
0,6,87.8,91.2,87.2
0,7,99.9,99.9,99.9
1,0,99.6,99.6,99.6
1,2,99.9,99.9,99.9
1,4,99.9,99.9,99.9
1,5,99.7,99.8,99.8
1,6,99.7,99.8,99.8
1,7,99.9,99.9,99.9
2,0,99.9,99.9,99.9
2,1,99.9,99.9,99.9
2,4,99.9,99.9,99.9
2,5,99.9,99.9,99.9
2,6,99.9,99.9,99.9
2,7,99.9,99.9,99.9
4,0,93.5,92.6,92.8
4,1,99.9,99.9,99.9
4,2,99.9,99.9,99.9
4,5,99.3,99.6,99.4
4,6,99.8,99.9,99.8
4,7,99.9,99.9,99.9
5,0,98.3,98.3,98.3
5,1,99.7,99.8,99.7
5,2,99.9,99.9,99.9
5,4,99.1,99.4,99.2
5,6,99.4,99.6,99.5
5,7,99.9,99.9,99.9
6,0,99.5,99.5,99.5
6,1,99.8,99.8,99.8
6,2,99.9,99.9,99.9
6,4,99.8,99.8,99.8
6,5,99.5,99.6,99.6
6,7,99.9,99.9,99.9
7,0,99.9,99.9,99.9
7,1,99.9,99.9,99.9
7,4,99.9,99.9,99.9
7,5,99.9,99.9,99.9
7,6,99.9,99.9,99.9
